Chargecode,Description,CPT/HCPCS,Fee
08354,"VIRUS IDENTIFICATION,  TISSUE CULTURE - TECH",87252,152.00
08400,"CYTOPATHOLOGY,CERVCL OR VAGNL,COLLCTD IN PRESRVTV FLUID",G0123,124.00
08417,"INFECT AGENT DETECT BY NUCLEIC ACID, NEISSERIA GONO",87591,132.00
08418,PROSTATE SPECIFIC ANTIGEN SCREENING,G0103,96.00
08432,MYGLOBIN,83874,123.00
08448,C-REACTIVE PROTN,86140,37.00
08451,PROGESTRNE,84144,110.00
08452,CALCM IONIZED,82330,93.00
08456,BETA HCG QUANT,84702,98.00
08459,CAROTENE-TECH,82380,52.00
08465,"CYTOPATH, FLUIDS, WASHING, SMEARS W/INTERP - TECH",88104,192.00
08466,HELICOBACTER PYLORI,86677,98.00
08468,"CYTOPATHOLOGY, EVAL OF FNA, INTERP AND REPORT",88173,321.00
08469,"LEVEL IV, SURGICAL PATHOLOGY GROSS AND MICROSCOPIC EXAM-TECH",88305,227.00
08478,PREALBUMN,84134,84.00
08481,TOPRAMATE,80201,115.00
08482,AMYLAS,82150,44.00
08490,"ASCORBIC ACID (VITAMIN C), BLOOD",82180,62.00
08494,BB RBC SEPARATION FOR PHENOTYE,86972,387.00
08495,BB LECTIN PANEL,86999,334.00
08496,PLATELET CONCENTRATE BY APHERESIS,P9035,"1,761.00"
08498,ELECTRONIC CROSSMATCH,86923,381.00
08500,"PLTS, LEUKO REDUCED, IRRADIATED",P9033,606.00
08501,"PLTS, APHERESIS, LEUKO REDUCED, IRR",P9037,"2,264.00"
08503,"RBC, LEUKO REDUCED, IRRADIATED",P9040,926.00
08504,"RBC, LEUKO REDUCED, CMV NEG",P9051,706.00
08505,"PLTS, APHERESIS, LEUKO REDUCED, IRR, CMV NEG",P9053,"1,783.00"
08506,"PLTS, APHERESIS, LEUKO REDUCED CMV NEG",P9055,"1,553.00"
08507,"RBC, LEUKO REDUCED, CMV NEG, IRR",P9058,766.00
08509,"PLTS, APHERESIS, IRRADIATED",P9036,"1,840.00"
08510,"IMMUNOHISTO/CYTOCHEMISTRY, EACH ANTIBODY",88342,636.00
08513,BK DNA CATEGORY REF LAB TECH,87799,291.00
08514,HIV 1-2 ANTIBODY/HIV 1 ANTIGEN,86849,93.00
08515,"SPECIAL STAINS:GROUP II (MICROORG), EACH",88313,230.00
08516,"CYTOPATHOLOGY-CONCENTRATION,SMEARS AND INTERP",88108,239.00
08517,"LEVEL IV-SURGICAL PATHOLOGY,GROSS & MICROSCOPIC EXAM",88305,227.00
08518,JC DNA,87799,291.00
08524,MYCOPHENOLIC ACID LEVEL,80299,130.00
08526,EBV QUANTITATION BY PCR,87799,291.00
08527,HHV8 QUANTITATION BY PCR,87799,291.00
08528,WEST NILE VIRUS QUANTITATION BY PCR,87799,291.00
08529,VZV QUANTITATION BY PCR,87799,291.00
08530,VORICONAZOLE LEVEL,80299,130.00
08547,PROMETHEUS ANSER - IFX,84999,"3,166.00"
08548,PROMETHEUS ANSER - ADA,84999,"3,166.00"
08549,MAYO INFLIXIMAB TESTING,80299,130.00
08551,"ETHAMBUTOL, ARUP",80299,746.00
08552,"MEXILATINE, MAYO",80299,355.00
08553,"SERTRALINE, MAYO",80299,130.00
08554,FECAL TRANSPLANT ORDER SET - TRACKING,,0.00
08555,"CAFFEINE, SERUM",80159,105.00
08556,"LAMOTRIGINE, SERUM",80175,87.00
08557,"ZONISAMIDE, SERUM",80203,75.00
08558,"ITRACONAZOLE LEVEL, QUEST",80299,236.00
08559,"FUROSEMIDE LEVEL, QUEST",80299,216.00
08561,"OSMOLALITY, FECAL, QUEST LABORATORY",84999,268.00
08562,"LACOSAMIDE LEVEL, QUEST",80299,284.00
08563,"POSACONAZOLE LEVEL, QUEST",80299,546.00
08564,PARVOVIRUS B 19 ULTRAQUANT - QUEST,87999,710.00
08565,"PLASMA, FREEZE BETWEEN 8 AND 24 HOURS",P9059,278.00
08566,"LABORATORY TESTING, LT 18 YEARS OLD",87491,25.00
08567,LEFLUNOMIDE METABOLITE,80299,130.00
08568,AMIODARONE AND METABOLITES,80299,130.00
08569,DEXAMETHASONE LEVEL,80299,130.00
08571,ADALIMUMAB LEVEL,80299,756.00
08572,INFLIXIMAB LEVEL,80299,659.00
08573,ACETAZOLZMIDE LEVEL,80299,130.00
08574,"RBC, DEGLYCEROLIZED",P9039,"1,241.00"
08575,"MAYO - IMMUNOASSAY TO INFECTIOUS AGENT AB, QUANTITATIVE",86317,7.00
08576,KAPPA OR LAMBDA LIGHT CHAINS,83883,119.00
08578,"COVID-19 TEST, GENMARK EPLEX, RAPID RESPONSE",87635,336.00
08579,"PLATELETPHERESIS, PATHOGEN REDUCED",P9073,"1,518.00"
08581,"EXPANDED CARRIER SCREEN WITH FRAGILE X, ARUP",81479,681.00
08802,"PHENYTOIN, TOTAL",80185,91.00
08803,"PHENYTOIN, FREE",80186,102.00
08806,DISOPYRAMIDE  LEVEL,80299,130.00
08810,"HEMOGLOBIN FRACTIONATION AND QUANT, ELECTROPHORESEIS",83020,63.00
08811,"HEMOGLOBIN FRACTIONATION AND QUANT, CHROMOTOGRAPHY",83021,148.00
08826,"PROTOPORPHYRIN, RBC, QUANT",84202,81.00
08844,HEMOGLOBIN S SCREEN - 08844,85660,53.00
08859,"INFECTIOUS AGENT, NOT SPEC, AMPLIFIED PROBE TECHNIQUE-TECH",87798,237.00
08860,"INFECT AGENT, NOT OTHERWISE SPEC, QUANT",87799,291.00
08865,ETHOSUXIMID   - TECH,80168,93.00
08867,LIDOCAIN,80176,83.00
08868,"CLOTTING,FACTOR VII (AHC),ONE STAGE",85240,123.00
08869,"CLOTTING,FACTOR VII,VON WILLEBRAND FACTOR,MULTI ANAL",85246,156.00
08870,"CLOTTING,FACTOR VIII,VW FACTOR ANTIGEN",85247,170.00
08871,FACTR INHIBITOR TEST,85335,72.00
08872,"CLOTTING,FACTOR VII,VW FACTOR,RISTOCETIN COFACTOR",85245,194.00
08874,"CLOTTING INHIBITORS OR ANTICOAGULANTS,PROTEIN S,FREE",85306,123.00
08876,"CREATININE, OTHER SOURCE",82570,37.00
08878,"URINALYSIS, AUTOMATED WITH MICROSCOPY",81001,31.00
08881,"ANTIBODY, CHLMYDIA",86631,68.00
08882,"ANTIBODY, CHLAMYDIA, 1GM",86632,72.00
08883,"ALBUMIN, URINE, MICROALBUMIN, QUANTITATIVE",82043,40.00
08885,"ANTIBODY, TOXOPLASMA",86777,79.00
08886,"XYLOSE ABSORPTION TEST,BLOOD AND /OR URINE - TECH",84620,68.00
08892,RENIN-,84244,124.00
08894,"CREATININE, OTHR SOURCE",82570,37.00
08896,FLECAINIDE LEVEL,80299,130.00
08897,"ANTIBODY, PROTOZOA, NOT ELSEWHERE SPECIFIED",86753,84.00
08898,"CALCIUM, TOTAL-TECH",82310,37.00
08899,PARATHORMONE (PARATHYROID HORMONE)-TECH,83970,231.00
08901,"ANTIBODY, LEGIONELLA",86713,86.00
08904,"ANTIBODY, INFLUENZA VIRUS",86710,84.00
08905,CITRATE-TECH,82507,154.00
08914,"ANTIBODY, COCCIDIOIDES",86635,65.00
08932,TACROLIMS,80197,91.00
08934,"GASES,BLOOD,ANY COMB OF PH/PCO2/PO2/CO2/HCO3, EXC PULSE OXIM",82805,234.00
08935,"POTASSIUM, SERUM",84132,39.00
08936,"BLOOD COUNT, HEMOGLOBIN",85018,24.00
08948,"ANTIBODY, HIV-1 & HIV-2, SINGLE RESULT",86703,93.00
08953,"INFECT DETECT BY NUCLC ACID, HEP C, RVRS TRNSCRP QUANT",87522,289.00
08966,ROUTINE VENIPUNCT FOR COLLECTION OF SPECIMENS,36415,16.00
08967,ROUTINE VENIPUCT FOR COLLECTN OF SPECIMENS,36415,16.00
08968,ROUTINE VENIPUNCT FOR COLLECTN OF SPECIMENS,36415,16.00
08988,"INFECT AGENT ANTIGEN BY IMMUNOASSAY,HISTOPLASMA",87385,95.00
09400,MAXIMUM INSPIRATORY  PRESSURE,94799,437.00
09401,MAXIMUM  EXPIRATORY  PRESSURE,94799,437.00
09460,IM ADM ANY ROUTE 1ST VAC/TOX (NON STATE),90471,75.00
09461,IM ADM ANY ROUTE ADDL VAC/TOX (NON STATE),90472,33.00
09471,"IMMUNE, ONE VACCINE, SINGLE OR COMBO VACCINE/TOXOID",90471,75.00
09472,"IMMUNE,ONE VACCINE,EACH ADDL,SINGLE/COMBO VACCINE/TOXOID",90472,33.00
09473,"IMMUNE ADMIN ORAL/NASAL, NON STATE SUPPLIED",90473,172.00
09474,"IMMUNE ADMIN ORAL/NASAL ADDL, NON STATE SUPPLIED",90474,30.00
09587,ROTATIONL VESTIBULAR TEST AENG,92546,467.00
09700,"THERAPEUTIC ACTIVITIES, EA 15 MIN",97530,119.00
09739,"EST PATIENT,LEVEL 1,MIN PROBLEM (5 MIN)",G0463,152.00
09740,"EST PATIENT,LEVEL1,MIN PROBLEM (5 MIN)",G0463,152.00
09741,"EST PATIENT,LEVEL 1, MIN PROBLEM (5 MIN)",G0463,152.00
09742,"EST PATIENT,LEVEL1, MIN PROBLEM (5MIN)",G0463,152.00
09750,"ORTHOTICS FITTING & TRAINING, EA 15MINS",97760,157.00
09752,"PROSTHETIC TRAINING, EACH 15 MINS",97761,134.00
09755,"CHECK FOR ORTHOTIC/PROSTETIC USE, EST PATIENT EA 15 MIN",97763,84.00
10004,FNA BX W/O IMG GDN EA ADDL - FAC,10004,569.00
10005,FNA BX W/US GDN 1ST LES - FAC,10005,"1,525.00"
10006,FNA BX W/US GDN EA ADDL - FAC,10006,763.00
10007,FNA BX W/FLUOR GDN 1ST LES - FAC,10007,"2,098.00"
10008,FNA BX W/FLUOR GDN EA ADDL - FAC,10008,"1,049.00"
10009,FNA BX W/CT GDN 1ST LES - FAC,10009,"1,525.00"
10010,FNA BX W/CT GDN EA ADDL - FAC,10010,763.00
10011,FNA BX W/MR GDN 1ST LES - FAC,10011,"2,098.00"
10012,FNA BX W/MR GDN EA ADDL - FAC,10012,"1,049.00"
10021,FNA W/O IMAGE-FAC,10021,"1,138.00"
100210,INTENSIVE CARE DAILY ROOM,,"7,926.00"
10030,GUIDE CATHET FLUID DRAINAGE - FAC,10030,"2,585.00"
100300,DAILY ROOM,,"3,762.00"
100302,TELEMETRY ROOM - OVERFLOW,,"4,191.00"
100307,DAILY INTERMEDIATE CARE ROOM,,"5,179.00"
100308,REMOTE TELEMETRY CARE,,"4,191.00"
100311,DAILY ROOM HOSPICE,,"3,762.00"
100313,PSYCHIATRIC CARE (ITA),,"5,994.00"
100315,"ROOM RATE, PATIENT REQUIRING SITTER",,"4,053.00"
100316,"ROOM RATE, ADDITIONAL RESOURCE PATIENT",,"4,657.00"
100319,ADMINISTRATIVE DAYS,,"1,559.00"
100321,MOTHER IP SEMI-PRIVATE ROOM,,"5,175.00"
100324,NICU LEVEL 1,,"4,140.00"
100325,NICU LEVEL 2,,"6,785.00"
100328,NURSERY LEVEL ROOM,,"3,910.00"
10035,PERQ DEV SOFT TISS 1ST IMAG - FAC,10035,"2,098.00"
10036,PERQ DEV SOFT TISS ADD IMAG - FAC,10036,"1,679.00"
10040,ACNE SURGERY--FAC,10040,499.00
10060,I&D ABCESS-SIMPLE OR SINGLE,10060,648.00
10061,"I&D ABSCESS, COMPLICTED OR MULTI",10061,"1,138.00"
10080,"I & D PILONIDAL CYST,SIMPLE--FAC",10080,"2,098.00"
10081,DRAINAGE OF PILONIDAL CYST COMPLICATED--FAC,10081,"2,098.00"
100830,TELEMETRY ROOM,,"4,191.00"
1010026,"CHEMO REFILL/MAINTENANCE, IMPLANT PUMP",96521,828.00
1010030,IM INJECTION OF MEDICATION,96372,176.00
1010031,VENIPNCTURE,36415,16.00
1010034,ADMIN OF INFLUENZA VIRUS VACCINE (MEDCARE ONLY),96372,176.00
1010084,"CRC, SKIN TEST, TUBERCOLOSIS, INTRADERMA",86580,63.00
1010087,"GLUCOSE,BLOOD,REAGENT STRIP",82948,24.00
1010088,"ELECTROCARDIOGRAM,ROUTINE ECG W 12 LEADS,TRCNG W/O INTRP",93005,275.00
1010089,CRC USAGE FEE (COORDINATOR USE) EACH 1/2 HOUR,,35.00
10120,"INCISION & REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES",10120,"1,078.00"
10121,"INC AND REMV OF FRGN BOD,SUBCUT TISS, CMPLICTED- FAC",10121,"5,556.00"
10140,"INCISN & DRAINAGE OF HEMATOMA,SEROMA OR FLUID CO",10140,"3,974.00"
10160,"PUNCTURE ASPIRATION OF ABSCESS,HEMATOMA,BULLA,OR CYST",10160,"1,138.00"
10180,"I & D COMPLEX,POSTOPERATIVE WOUND INFECTION--FAC",10180,"6,854.00"
103130,IP POST PROCEDURE DAILY ROOM,,"3,762.00"
103145,OR/PACU IP CARE,,130.00
103150,POST PROCEDURE DAILY ROOM,,0.00
103750,OP POST PROCEDURE PER HR,,138.00
103800,"OBS TELEMETRY, PER HOUR",G0378,175.00
103850,OP PACE,,0.00
1045M,PHYSICAL CAPACITIES EXAM  (PCE),,384.00
109999,OUTPATIENT NURSING STATION,,0.00
11000,"DEBRIDEMENT OF SKIN & CALLUS, UP TO 10% BODY",11000,"1,749.00"
11001,DEBRIDEMENT + 10% SURFACE--FAC,11001,136.00
11005,DEBRID ABDOM WALL,11005,"3,334.00"
11008,REMOVE MESH FROM ABD WALL,11008,"3,334.00"
11010,DBRDEMNT INC REMVL OF FORGN MAT AT FX SITE W/OPN FX(S)-TECH,11010,"2,146.00"
11011,"DEBRIDE FOREIGN MAT, SKIN, SUBQ TISS, MUSC - FAC",11011,"2,098.00"
11012,"DEBRIDE FOREIGN MAT, SKIN, SUBQ TISS, MUSC, BONE - FAC",11012,"6,854.00"
11042,"DEBRIDE & SUBQ TISSUE, 20 SQ CM OR LESS--FAC",11042,"1,068.00"
11043,"DEBRIDE & MUSCLE/FASCIA, 20 SQ CM OR LESS--FAC",11043,"1,749.00"
11044,"DEBRIDE SUBQ TISSUE, MUSCLE & BONE, 20 SQ CM OR LESS--FAC",11044,"3,974.00"
11045,"DEB SUBQ TISSUE ADD-ON, EA ADDL 20SQ CM - FAC",11045,823.00
11046,"DEB MUSC/FASCIA ADD-ON, EA ADDL 20SQ CM - FAC",11046,723.00
11047,"DEB BONE ADD-ON, EA ADDL 20SQ CM - FAC",11047,"1,044.00"
11055,"PARING OR CUTTING BENIGN HYPERKERATOTIC, SINGLE",11055,499.00
11056,"PARING OR CUTTING BENIGN HYPERKERATOTIC,  2-4",11056,499.00
11057,PARING OR CUTTING OF BENIGN HYPERKERAT SKIN LESN,11057,639.00
11102,TANGNTL BX SKIN SINGLE LES - FAC,11102,465.00
11103,TANGNTL BX SKIN EA SEP/ADDL - FAC,11103,233.00
11104,PUNCH BX SKIN SINGLE LESION - FAC,11104,465.00
11105,PUNCH BX SKIN EA SEP/ADDL - FAC,11105,233.00
11106,INCAL BX SKN SINGLE LES - FAC,11106,827.00
11107,INCAL BX SKN EA SEP/ADDL - FAC,11107,414.00
11200,"REMOVAL OF SKIN TAGS, UP TO 15 LESIONS",11200,499.00
11201,"REMOVAL, SKIN TAGS, EACH ADDL 10 OR FEWER LESIONS",11201,161.00
11300,"SHAVING, TRUNK/ARMS/LEGS, LESION 0.5 CM OR LESS",11300,499.00
11301,"SHAVING, TRUNK/ARMS/LEGS, LESION 0.6 TO 1.0 CM",11301,499.00
11302,"SHAVING,TRUNK/ARMS/LEGS, LESION 1.1.TO 2.0 CM",11302,499.00
11303,"SHVING EPIDRML/DRML LESN,SNGL,TRNK/ARMS/LGS,OVR 2.0CM-TECH",11303,917.00
11305,"SHAVING, SCALP/NECK/HANDS/FEET, LESION TO 0.5 CM",11305,499.00
11306,"SHAVING, SCALP/NECK/HANDS/FEET, LESION 0.6 TO 1.0",11306,499.00
11307,"SHAVING, SCALP/NECK/HAND/FEET, 1.1 TO 2.0 CM",11307,639.00
11308,"SHVING EPIDRML/DERMAL LES,SNGL,SCLP,ETC.,OVER 2.0CM- FAC",11308,917.00
11310,"SHAVING, FACE/EARS/LIDS/NOSE/LIPS, LESION TO 0.5CM",11310,639.00
11311,"SHAVING, FACE/EARS/LIDS/NOSE/LIPS, 0.6 TO 1.0 CM",11311,639.00
11312,"SHAVING, FACE/ EARS/LIDS/ NOSE/LIPS, 1.1 TO 2.0 CM",11312,"1,138.00"
11313,"SHVING OF EPIDRML/DERML LES,SNGL,FACE,ETC.OVER 2.0CM-TECH",11313,"1,138.00"
11400,"EXCISION, BENIGN, TRUNK/ARMS/LEGS, 0.5 CM OR LESS",11400,"2,098.00"
11401,"EXCISION, BENIGN, TRUNK/ ARMS/LEGS, 0.6 - 1.0 CM",11401,"1,253.00"
11402,"EXCISION, BENIGN, TRUNK/ARMS/LEGS, 1.1 - 2.0 CM",11402,"2,098.00"
11403,"EXCISION, BENIGN, TRUNK/ ARMS/ LEGS, 2.1 - 3.0 CM",11403,"2,098.00"
11404,"EXCN, BENIGN, TRUNK/ARMS/LEGS, 3.1 - 4.0 CM",11404,"3,974.00"
11406,"EXCISION, BENIGN, TRUNK/ARMS/LEGS, OVER 4.0 CM",11406,"4,893.00"
11420,"EXCISION,BENIGN,SCALP/NECK/ HANDS/FEET TO 0.5CM",11420,"3,974.00"
11421,"EXCISION,BENIGN,SCALP/NECK/HANDS/FEET, 0.6-1.0 CM",11421,"2,098.00"
11422,"EXCISION,BENIGN,SCALP/NECK/HANDS/FEET,1.1 TO 2.0CM",11422,"3,974.00"
11423,"EXCISION,BENIGN,SCALP/NECK/HANDS/FEET 2.1 TO 3.0CM",11423,"3,974.00"
11424,"EXC, BENIGN,SCALP/NECK/HANDS/FEET,3.1 TO 4.0CM",11424,"3,974.00"
11426,"EXC,BENIGN LES,SCLP,NCK,HNDS,FT,GENITALIA,OVR 4CM-TECH",11426,"7,844.00"
11440,"EXCISION,BENIGN,FACE/LIDS/NOSE/LIPS, 0.5CM OR LESS",11440,"2,098.00"
11441,"EXCISION,BENIGN,FACE/LIDS/NOSE/LIPS, 0.6 TO 1.0CM",11441,"2,098.00"
11442,"EXCISION,BENIGN, FACE/ EARS/ LIDS/NOSE/LIPS,1.1-2.0CM",11442,"2,240.00"
11443,"EXCISION,BENIGN,FACE/EARS/LIDS/NOSE/LIPS,2.1-3.0CM",11443,"3,974.00"
11444,"EXCISION,BENIGN,FACE/LIDS/NOSE/LIPS,3.1 TO 4.0 CM",11444,"3,974.00"
11446,"EXCISION, BENIGN, FACE/EAR/LID/NOSE/LIP,OVER 4.0CM",11446,"6,854.00"
11450,"EX SKIN&SUBCUT TISS FOR HIDRD,AXIL,W/SMPL OR INTRMD REP-TECH",11450,"6,854.00"
11451,"EX SKIN &SUBCUT TIS FOR HIDRD,AXIL,W/CMPLX REP-TECH",11451,"6,854.00"
11462,"EX SKIN &SUBCUT TIS FOR HIDRAD,INGNL,W/SMPL REP-TECH",11462,"6,854.00"
11463,"EX SKIN &SUBCUT TIS FOR HIDRAD,INGNL,W/CMPLX REP-TECH",11463,"6,854.00"
11470,"EX SKIN,SUBC TISS FOR HIDRD,PERIN,OR UMB,W/SMPL,INT REP-TECH",11470,"6,854.00"
11471,"EXC SKIN,SUBCUT TIS FOR HIDRD,PRINL,UMB,W/CMPLX REP-TECH",11471,"6,854.00"
115502,MEDICAL NEBULIZER,94640,550.00
115511,HYPERBARIC-ECG TRACE,93041,172.00
115514,VENT ASSIST & MGMNT 1ST DAY,94002,"1,913.00"
115537,CLLCT OF BLOOD SPCM FRM A  IMPLTBL VENOUS ACCESS DEV,36591,310.00
115553,SCHEDULED IP PER 30 MINS,G0277,415.00
115554,SCHEDULED OP PER 30 MINS,G0277,415.00
115555,UNSCHEDULED PER 30 MINS,G0277,415.00
115558,COLLECT BLOOD FROM PICC - HYPERBARIC,36592,310.00
115559,"VENT MGMT INPAT, SUBQ DAY - HYPERBARIC",94003,"1,913.00"
115560,"THER/PROPH/DIAG  INJ, SC/IM - HYPERBARIC",96372,176.00
115561,"THER/PROPH/DIAG INJ,  IV  PUSH - HYPERBARIC",96374,661.00
115562,TX/PRO/DX INJ NEW DRUG ADDON - HYPERBARIC,96375,160.00
115570,"RN SVCS - NEG PRESS WOUND TX, LESS THAN EQ 50 CM",97605,499.00
115571,"RN SVCS - NEG PRESS WOUND TX, GREATER THAN 50 CM",97606,917.00
115572,"RN SVCS - ACTIVE WOUND CARE, NON DME, LE 50 SQ CM",97607,"1,138.00"
115573,"RN SVCS - ACTIVE WOUND CARE, NON DME, GT 50 SQ CM",97608,"1,138.00"
115580,"MD ONLY - NEG PRESS WOUND TX, LESS THAN EQ 50 CM",97605,499.00
115581,"MD ONLY - NEG PRESS WOUND TX, GREATER THAN 50 CM",97606,917.00
115582,"MD ONLY - ACTIVE WOUND CARE, NON DME, LE 50 SQ CM",97607,"1,138.00"
115583,"MD ONLY - ACTIVE WOUND CARE, NON DME, GT 50 SQ CM",97608,"1,138.00"
11600,"EXCISION,MALIG,TRUNK/ARMS/LEGS, 0.5CM OR LESS",11600,"2,098.00"
11601,"EXCISION, MALIG, TRUNK/ARMS/LEGS, 0.6-1.0 CM",11601,"2,098.00"
11602,"EXCISION, MALIG,TRUNK/ARMS/LEGS, 1.1-2.0 CM",11602,"1,138.00"
11603,"EXC, MALIG,TRUNK/ARMS/LEGS, 2.1 - 3.0 CM",11603,"2,240.00"
11604,"EXCISION,BENIGN,TRUNK/ARMS/LEGS, 3.1 TO 4.0 CM",11604,"3,499.00"
11606,"EXCISION, MALIG,TRUNK/ARMS/LEGS, OVER 4.0 CM",11606,"6,451.00"
11620,"EXC,MLIGNNT LES,SCLP,NCK,EXTRM,GENITL,.5 CM OR LESS-TECH",11620,"3,974.00"
11621,"EXCISION,MALIG,SCALP/NECK/HAND/FEET, 0.6 TO 1.0CM",11621,"2,296.00"
11622,"EXCISION,MALIG,SCALP/NECK/HAND/FEET, 1.1 TO 2.0CM",11622,"2,098.00"
11623,"EXCISION,MALIG,SCALP/ NECK/HAND/ FEET,2.1 TO 3.0 CM",11623,"3,974.00"
11624,EXC MALIG LESION 3-4 CM--FAC,11624,"4,049.00"
11626,"EXC MALGNNT LES-SCLP,HNDS,NCK,FT,GENITL OVR 4.0 CM -FAC",11626,"8,610.00"
11640,"EXCISION,MALIG,FACE/EARS/LIDS/NOSE/LIP, TO 0.5CM",11640,"2,182.00"
11641,"EXCISION,MALIG,FACE/EARS/LIDS/NOSE/LIP,0.6- 1.0 CM",11641,"2,240.00"
11642,"EXCISION,MALIG,FACE/EARS/LIDS/NOSE/LIP, 1.1- 2.0CM",11642,"2,296.00"
11643,"EXCISION,MALIG,FACE/EARS/LIDS/NOSE/LIP,2.1CM - 3.0 CM",11643,"3,974.00"
11644,"EXCISION,MALIG,FACE/EARS/LIDS/NOSE/LIP,3.1- 4.0 CM",11644,"4,396.00"
11646,"EXC, MALIGNNT LESN, FCE,EARS,EYELIDS,NSE,LIP, OVR 4.0CM-FAC",11646,"7,612.00"
11719,"TRIMMING OF NONDYSTROPHIC NAILS, ANY NUMBER - FAC",11719,165.00
11720,"DEBRIDEMENT OF NAIL, ANY METHOD, 1 - 5",11720,165.00
11721,"DEBRIDEMENT OF NAIL, ANY METHOD, 6 OR MORE",11721,165.00
11730,"AVULSION OF NAIL PLATE,PARTIAL/COMPLETE,SIMPLE-SINGLE--FAC",11730,499.00
11732,"AVULSION OF NAIL PLATE,PARTIAL/COMPLETE,SIMPLE-EA",11732,149.00
11740,EVACUATION OF SUBUNGUAL HEMATOMA,11740,310.00
11750,"EXCISION OF NAIL & NAIL MATRIX,FOR PERMANENT REMOVAL--FAC",11750,"1,138.00"
11755,BIOPSY NAIL UNIT -FAC,11755,"2,098.00"
11760,REPAIR OF NAIL BED--FAC,11760,"1,749.00"
11762,RECONSTRUCTION OF NAIL BED WITH GRAFT--FAC,11762,"5,610.00"
11765,WEDGE RESECTION OF TOENAIL--FAC,11765,917.00
11770,"EXC PILONIDAL CYST, SIMPLE--FAC",11770,"6,854.00"
11771,"*EXCISION OF PILONIDAL CYST OR SINUS,EXTENSIVE--FAC",11771,"6,854.00"
11772,"*EXCISION OF PILONIDAL CYST OR SINUS,COMPLICATED--FAC",11772,"6,854.00"
11900,"INJECTION,INTRALESIONAL-UP TO 7 LESIONS--FAC",11900,499.00
11901,"INJECTION,INTRALESIONAL-MORE THAN 7 LESIONS--FAC",11901,499.00
11920,"TATTOOING,INCL MICROPIGMENTATION,6.0 SQ CM OR LESS--FAC",11920,"1,749.00"
11921,CORRCT SKIN COLOR DEFECTS--FAC,11921,"1,749.00"
11922,CORRECT SKIN COLOR DEFECTS - -FAC,11922,485.00
11950,SUBCUT INJ FILLING MAT (EG COLLAGEN) UP TO 1CC - FAC,11950,"1,176.00"
11951,SUBCUT INJECT FILLING MATERIAL 1.1 TO 5.0CC--FAC,11951,"1,749.00"
11952,THERAPY FOR CONTOUR DEFCTS--FAC,11952,"1,749.00"
11954,THERAPY FOR CONTOUR DEFECTS - -FAC,11954,"1,138.00"
11960,"INSRT OF TISS EXPDR(S) FOR OTHR THN BRST,INCL SUBSEQ-TECH",11960,"10,017.00"
11970,REPL OF TISS EXPNDR W/PERMANENT PRSTHESIS--FAC,11970,"17,282.00"
11971,*REMV OF TISS EXPNDR(S) W/O INSRT OF PRSTHESIS-TECH,11971,"6,630.00"
11976,"REMOVAL,IMPLANTABLE CONTRACEPTIVE CAPSULES--FAC",11976,"1,689.00"
11980,SUBCUTANEOUS HORMONE PELLET IMPLANTATION-FAC,11980,973.00
11981,INSERT DRUG IMPLANT DEVICE-FAC,11981,291.00
11982,REMOVE DRUG IMPLANT DEVICE-FAC,11982,973.00
11983,REMOVE/INSERT DRUG IMPLANT-FAC,11983,973.00
12001,"SIMPLE REPAIR,SCALP/NECK/TRUNK/EXT, TO 2.5 CM",12001,499.00
12002,"SIMPLE REPAIR WOUND,SCLP,NCK,TRNK,EXTREMS,2.6-7.5CM-TECH",12002,499.00
12004,SIMPLE REP LAC 7.5-12.5CM--FAC,12004,499.00
12005,"REPAIR, SIMPLE, S/N/A/G/TRUNK/EXTREM, 12.6 - 20.0 CM",12005,917.00
12006,"REPAIR, SIMPLE, S/N/A/G/TRUNK/EXTREM, 20.1 - 30.0 CM",12006,917.00
12007,"REPAIR, SIMPLE, S/N/A/G/TRUNK/EXTREM, OVER 30.0CM",12007,639.00
12011,"SIMPLE REPAIR,FACE/EAR/LID/NOSE/LIP, TO 2.5 CM",12011,499.00
12013,"SIMPLE REPAIR SUPERFICIAL WOUNDS FACE,EARS,ETC-2.6 TO 5.0CM",12013,499.00
12014,"SIMPLE REPAIR SUPERFICIAL WOUNDS FACE,EARS,ETC-5.1 TO 7.5CM",12014,499.00
12015,"SMPL REPR SUPERFICIAL WOUNDS FACE,EARS,ETC-7.6TO12.5CM--FAC",12015,499.00
12016,"SIMPL REPAIR SUPERFICIAL WNDS FCE,EARS,ETC,12.6 - 20 CM--FAC",12016,917.00
12017,"SIMPLE RPR SUPERFICL WNDS,FCE,EARS,ETC. 20.1-30CM--FAC",12017,917.00
12018,"*SIMPLE REPAIR,SUPERFICIAL WOUNDS-FACE,OVER 30.0 CM--FAC",12018,499.00
12020,TRTMNT OF SUPRFCL WND DEHISCENCE-SMPL CLSR--FAC,12020,"1,749.00"
12021,"*TREATMENT OF SUPERFICIAL WOUND DEHISCENCE,WITH PACKING--FAC",12021,"1,138.00"
12031,"INTERM REPAIR, SCALP/TRUNK/EXT, 2.5 CM OR LESS",12031,"1,138.00"
12032,"INTERM REPAIR, SCALP/TRUNK/EXT, 2.6 - 7.5 CM",12032,"1,138.00"
12034,"INTERM REPAIR, SCALP/TRUNK/EXT, 7.6 - 12.5 CM",12034,"1,041.00"
